Date,Summary,Precip_Type,Temperature,Apparent_Temperature,Humidity,Wind_Speed,Wind_Bearing,Visibility,Cloud_Cover,Pressure,Daily_Summary,Year,Month,Day,Season,Temp_Category,Precipitation,Rain_Category
2006-01-01,Partly Cloudy,rain,0.5777777777777773,-4.05,0.89,17.114300000000004,140.0,9.982000000000001,0.0,1016.66,Mostly cloudy throughout the day.,2006,1,1,Winter,Cold,2.5,Moderate
2006-01-02,Overcast,rain,5.972222222222222,1.8611111111111118,0.8,24.230500000000003,140.0,11.270000000000001,0.0,1009.39,Mostly cloudy throughout the day.,2006,1,2,Winter,Cold,2.5,Moderate
2006-01-03,Overcast,rain,2.855555555555556,-1.6444444444444448,0.96,20.1733,209.0,4.025,0.0,1012.58,Overcast throughout the day.,2006,1,3,Winter,Cold,2.5,Moderate
2006-01-04,Overcast,rain,2.244444444444444,2.244444444444444,0.92,2.6887,166.0,10.770900000000001,0.0,1023.73,Mostly cloudy throughout the day.,2006,1,4,Winter,Cold,2.5,Moderate
2006-01-05,Overcast,rain,2.7333333333333343,-1.4055555555555561,0.89,17.3719,20.0,11.125100000000002,0.0,1024.21,Overcast throughout the day.,2006,1,5,Winter,Cold,2.5,Moderate
2006-01-06,Overcast,rain,2.8277777777777797,0.5666666666666684,1.0,8.1305,344.0,4.2021,0.0,0.0,Foggy in the morning.,2006,1,6,Winter,Cold,2.5,Moderate
2006-01-07,Overcast,rain,2.2222222222222223,-0.14444444444444532,1.0,8.1305,338.0,5.8604,0.0,1025.57,Foggy until morning.,2006,1,7,Winter,Cold,2.5,Moderate
2006-01-08,Mostly Cloudy,snow,-1.0166666666666657,-2.783333333333334,0.99,5.119800000000001,53.0,6.0697,0.0,1032.54,Foggy starting overnight continuing until morning.,2006,1,8,Winter,Freezing,2.5,Moderate
2006-01-09,Clear,snow,-2.2222222222222223,-5.25,0.88,7.760200000000001,30.0,9.8049,0.0,1036.36,Partly cloudy in the afternoon.,2006,1,9,Winter,Freezing,2.5,Moderate
2006-01-10,Mostly Cloudy,snow,-1.2055555555555566,-1.2055555555555566,0.85,3.0751,310.0,9.982000000000001,0.0,1033.17,Mostly cloudy until afternoon.,2006,1,10,Winter,Freezing,2.5,Moderate
2006-01-11,Clear,snow,-1.4999999999999996,-1.4999999999999996,0.85,3.3166,283.0,7.212800000000001,0.0,1032.81,Mostly cloudy until afternoon.,2006,1,11,Winter,Freezing,2.5,Moderate
2006-01-12,Clear,snow,-1.0388888888888894,-4.366666666666666,0.92,9.3863,160.0,3.9606000000000003,0.0,1032.21,Foggy starting overnight continuing until morning.,2006,1,12,Winter,Freezing,2.5,Moderate
2006-01-13,Clear,snow,-0.09444444444444539,-0.09444444444444539,0.92,1.127,270.0,3.9284000000000003,0.0,1036.18,Foggy starting overnight continuing until morning.,2006,1,13,Winter,Freezing,2.5,Moderate
2006-01-14,Foggy,snow,-0.022222222222221748,-3.1833333333333336,0.92,9.4829,327.0,2.9785000000000004,0.0,1037.15,Foggy starting overnight continuing until night.,2006,1,14,Winter,Freezing,2.5,Moderate
2006-01-15,Clear,snow,-2.155555555555555,-5.238888888888889,0.89,7.969500000000001,59.0,6.9069,0.0,1037.44,Mostly cloudy starting overnight continuing until evening.,2006,1,15,Winter,Freezing,2.5,Moderate
2006-01-16,Overcast,snow,-2.755555555555556,-2.755555555555556,0.78,1.8515,75.0,11.125100000000002,0.0,1035.23,Foggy in the morning.,2006,1,16,Winter,Freezing,2.5,Moderate
2006-01-17,Overcast,snow,-3.7944444444444434,-3.7944444444444434,0.84,4.379200000000001,75.0,7.969500000000001,0.0,1030.0,Overcast throughout the day.,2006,1,17,Winter,Freezing,2.5,Moderate
2006-01-18,Overcast,snow,-3.7722222222222217,-8.916666666666666,0.92,14.3934,139.0,4.8461,0.0,1020.21,Overcast throughout the day.,2006,1,18,Winter,Freezing,2.5,Moderate
2006-01-19,Mostly Cloudy,rain,1.2055555555555566,-1.8166666666666664,0.92,9.837100000000001,288.0,9.6761,0.0,1006.52,Mostly cloudy throughout the day.,2006,1,19,Winter,Cold,2.5,Moderate
2006-01-20,Partly Cloudy,snow,-2.8277777777777775,-6.638888888888889,0.78,9.9015,292.0,9.982000000000001,0.0,1025.49,Mostly cloudy starting overnight.,2006,1,20,Winter,Freezing,2.5,Moderate
2006-01-21,Mostly Cloudy,snow,-1.0888888888888895,-5.599999999999999,0.88,14.296800000000003,129.0,9.8049,0.0,1025.39,Mostly cloudy starting overnight continuing until night.,2006,1,21,Winter,Freezing,2.5,Moderate
2006-01-22,Mostly Cloudy,rain,0.14444444444444335,-2.577777777777778,0.91,8.0983,211.0,9.8049,0.0,1020.3,Mostly cloudy until night.,2006,1,22,Winter,Cold,2.5,Moderate
2006-01-23,Overcast,snow,-7.205555555555555,-15.255555555555556,0.67,25.711700000000004,12.0,11.2056,0.0,1028.31,Mostly cloudy throughout the day and breezy in the evening.,2006,1,23,Winter,Freezing,2.5,Moderate
2006-01-24,Partly Cloudy,snow,-11.13888888888889,-11.13888888888889,0.8,4.6046000000000005,0.0,9.982000000000001,0.0,1042.26,Mostly cloudy starting overnight continuing until night.,2006,1,24,Winter,Freezing,2.5,Moderate
2006-01-25,Clear,snow,-11.222222222222221,-15.77222222222222,0.87,7.728,341.0,9.9015,0.0,1042.85,Partly cloudy starting in the morning continuing until afternoon.,2006,1,25,Winter,Freezing,2.5,Moderate
2006-01-26,Clear,snow,-9.0,-13.177777777777777,0.78,7.7440999999999995,131.0,9.9015,0.0,1029.39,Partly cloudy starting in the morning continuing until afternoon.,2006,1,26,Winter,Freezing,2.5,Moderate
2006-01-27,Partly Cloudy,snow,-7.449999999999999,-12.472222222222221,0.75,10.867500000000001,80.0,9.708300000000001,0.0,1029.14,Partly cloudy starting in the morning.,2006,1,27,Winter,Freezing,2.5,Moderate
2006-01-28,Partly Cloudy,snow,-6.227777777777778,-6.227777777777778,0.69,3.4132000000000002,64.0,9.8049,0.0,1031.44,Partly cloudy starting in the morning.,2006,1,28,Winter,Freezing,2.5,Moderate
2006-01-29,Overcast,snow,-1.161111111111111,-3.377777777777777,0.75,6.0858,45.0,9.7405,0.0,1031.06,Mostly cloudy starting in the morning.,2006,1,29,Winter,Freezing,2.5,Moderate
2006-01-30,Partly Cloudy,snow,-2.1500000000000004,-6.155555555555555,0.74,11.0768,29.0,8.0017,0.0,1031.96,Partly cloudy throughout the day.,2006,1,30,Winter,Freezing,2.5,Moderate
2006-01-31,Overcast,rain,0.07222222222222364,-1.5222222222222213,0.85,5.055400000000001,222.0,5.957000000000001,0.0,1027.41,Overcast throughout the day.,2006,1,31,Winter,Cold,2.5,Moderate
2006-02-01,Overcast,snow,-2.144444444444444,-6.199999999999999,0.86,11.270000000000001,320.0,4.83,0.0,1025.18,Mostly cloudy until night.,2006,2,1,Winter,Freezing,2.5,Moderate
2006-02-02,Overcast,snow,-2.383333333333333,-6.966666666666666,0.88,13.2664,210.0,4.7978000000000005,0.0,1024.15,Mostly cloudy until night.,2006,2,2,Winter,Freezing,2.5,Moderate
2006-02-03,Overcast,snow,-3.888888888888889,-7.155555555555555,0.92,7.647500000000001,300.0,3.9284000000000003,0.0,1019.72,Foggy starting overnight continuing until afternoon.,2006,2,3,Winter,Freezing,2.5,Moderate
2006-02-04,Overcast,snow,-2.822222222222221,-4.694444444444445,0.78,4.8461,346.0,5.9731000000000005,0.0,1019.15,Foggy overnight.,2006,2,4,Winter,Freezing,2.5,Moderate
